                           TxHash                                 TxIx        Amount
--------------------------------------------------------------------------------------
1a1a41f6dcf36e5459faa045ec760986646f7a0ee66a54f2845ecb42cbe2478e     0        1500000 lovelace + 1 7f5231f6137e279eb7db1a1b719596d3e5246738dc1c29f6d5f9d70a + TxOutDatumNone
20846dd343610f1308bea47b89331d2ebf96f4eff5f6a673899df89846acd29b     0        1500000 lovelace + 79 b4dff8a4bf58ef312cfc498231d4385349cdf9bc39e3bd0278f7637e.73636166666f6c64 + TxOutDatumNone
21d8409f1b7ddab07ef81121f2ee6175bdcaa16249c862d7cff0d30e15ebab03     0        1215420 lovelace + 1 05cf1f9c1e4cdcb6702ed2c978d55beff5e178b206b4ec7935d5e056.3232325050424c3230323344656d6f47696d626c6572 + TxOutDatumNone
6b842c8c70e588bfb8cb894a519701b2824cf442ccb2e2dd373f7984aec57aee     0        1500000 lovelace + 79 daf7fd562e6967e412c3e2a864de6677ddcc4f2eebb96e64a8c1349e.616e64616d696f + TxOutDatumNone
992cf38a2ad36d9a8210d4454adf5f84eb66b59c1a2605abad223c1aeac23a42     1        73321920 lovelace + TxOutDatumNone
ab0efd0410ea351d11cfb463b894031a8ef573d023ac47e2440dc2e2c18ff6e2     0        1500000 lovelace + 99 7f5231f6137e279eb7db1a1b719596d3e5246738dc1c29f6d5f9d70a + TxOutDatumNone
b3ce7633f1c5b3c228d56527ea35e99b414040e47df655a09276b1d393a08463     0        1500000 lovelace + 1 7f5231f6137e279eb7db1a1b719596d3e5246738dc1c29f6d5f9d70a.7061727479 + TxOutDatumNone
eb35b9e5de5d4c9d936718da8e6033299eacd6fc1ac4f4c07f1ef0bd2a430965     0        7139458 lovelace + TxOutDatumNone
fd1aa803b5c515417ee5124aa0c247f0b7248f778987f43a83c4587135b558c2     0        1500000 lovelace + 12 b4dff8a4bf58ef312cfc498231d4385349cdf9bc39e3bd0278f7637e.73636166666f6c64 + TxOutDatumNone
